Category: All categories

Week,bitcoin hack: (Worldwide)
2011-10-23,2
2011-10-30,2
2011-11-06,4
2011-11-13,2
2011-11-20,2
2011-11-27,2
2011-12-04,2
2011-12-11,2
2011-12-18,3
2011-12-25,4
2012-01-01,2
2012-01-08,2
2012-01-15,3
2012-01-22,3
2012-01-29,3
2012-02-05,3
2012-02-12,2
2012-02-19,2
2012-02-26,2
2012-03-04,2
2012-03-11,3
2012-03-18,3
2012-03-25,2
2012-04-01,3
2012-04-08,2
2012-04-15,3
2012-04-22,2
2012-04-29,2
2012-05-06,2
2012-05-13,3
2012-05-20,5
2012-05-27,3
2012-06-03,2
2012-06-10,2
2012-06-17,3
2012-06-24,2
2012-07-01,2
2012-07-08,3
2012-07-15,3
2012-07-22,3
2012-07-29,5
2012-08-05,3
2012-08-12,3
2012-08-19,2
2012-08-26,3
2012-09-02,2
2012-09-09,2
2012-09-16,3
2012-09-23,3
2012-09-30,4
2012-10-07,3
2012-10-14,2
2012-10-21,2
2012-10-28,2
2012-11-04,2
2012-11-11,2
2012-11-18,3
2012-11-25,3
2012-12-02,4
2012-12-09,3
2012-12-16,4
2012-12-23,2
2012-12-30,4
2013-01-06,1
2013-01-13,4
2013-01-20,5
2013-01-27,2
2013-02-03,3
2013-02-10,3
2013-02-17,4
2013-02-24,5
2013-03-03,5
2013-03-10,4
2013-03-17,9
2013-03-24,10
2013-03-31,19
2013-04-07,26
2013-04-14,9
2013-04-21,14
2013-04-28,10
2013-05-05,7
2013-05-12,7
2013-05-19,7
2013-05-26,6
2013-06-02,5
2013-06-09,7
2013-06-16,8
2013-06-23,6
2013-06-30,9
2013-07-07,7
2013-07-14,6
2013-07-21,10
2013-07-28,3
2013-08-04,7
2013-08-11,6
2013-08-18,6
2013-08-25,7
2013-09-01,4
2013-09-08,6
2013-09-15,5
2013-09-22,10
2013-09-29,6
2013-10-06,13
2013-10-13,9
2013-10-20,12
2013-10-27,17
2013-11-03,21
2013-11-10,26
2013-11-17,34
2013-11-24,37
2013-12-01,39
2013-12-08,25
2013-12-15,27
2013-12-22,26
2013-12-29,23
2014-01-05,24
2014-01-12,21
2014-01-19,23
2014-01-26,21
2014-02-02,23
2014-02-09,38
2014-02-16,24
2014-02-23,41
2014-03-02,28
2014-03-09,24
2014-03-16,20
2014-03-23,24
2014-03-30,14
2014-04-06,13
2014-04-13,17
2014-04-20,12
2014-04-27,17
2014-05-04,15
2014-05-11,14
2014-05-18,11
2014-05-25,22
2014-06-01,17
2014-06-08,19
2014-06-15,16
2014-06-22,18
2014-06-29,15
2014-07-06,14
2014-07-13,13
2014-07-20,16
2014-07-27,18
2014-08-03,14
2014-08-10,22
2014-08-17,22
2014-08-24,22
2014-08-31,29
2014-09-07,30
2014-09-14,22
2014-09-21,17
2014-09-28,14
2014-10-05,17
2014-10-12,18
2014-10-19,20
2014-10-26,18
2014-11-02,26
2014-11-09,45
2014-11-16,30
2014-11-23,26
2014-11-30,21
2014-12-07,26
2014-12-14,22
2014-12-21,21
2014-12-28,24
2015-01-04,30
2015-01-11,24
2015-01-18,22
2015-01-25,18
2015-02-01,22
2015-02-08,20
2015-02-15,26
2015-02-22,20
2015-03-01,21
2015-03-08,21
2015-03-15,18
2015-03-22,26
2015-03-29,22
2015-04-05,16
2015-04-12,19
2015-04-19,17
2015-04-26,19
2015-05-03,19
2015-05-10,20
2015-05-17,17
2015-05-24,20
2015-05-31,25
2015-06-07,19
2015-06-14,18
2015-06-21,24
2015-06-28,19
2015-07-05,23
2015-07-12,21
2015-07-19,22
2015-07-26,18
2015-08-02,19
2015-08-09,28
2015-08-16,23
2015-08-23,25
2015-08-30,25
2015-09-06,18
2015-09-13,18
2015-09-20,27
2015-09-27,26
2015-10-04,18
2015-10-11,24
2015-10-18,22
2015-10-25,23
2015-11-01,26
2015-11-08,26
2015-11-15,25
2015-11-22,21
2015-11-29,25
2015-12-06,28
2015-12-13,26
2015-12-20,28
2015-12-27,32
2016-01-03,29
2016-01-10,32
2016-01-17,32
2016-01-24,33
2016-01-31,30
2016-02-07,25
2016-02-14,30
2016-02-21,31
2016-02-28,27
2016-03-06,28
2016-03-13,29
2016-03-20,24
2016-03-27,26
2016-04-03,26
2016-04-10,23
2016-04-17,29
2016-04-24,30
2016-05-01,28
2016-05-08,26
2016-05-15,26
2016-05-22,28
2016-05-29,30
2016-06-05,24
2016-06-12,31
2016-06-19,39
2016-06-26,35
2016-07-03,26
2016-07-10,27
2016-07-17,29
2016-07-24,25
2016-07-31,100
2016-08-07,54
2016-08-14,38
2016-08-21,37
2016-08-28,30
2016-09-04,39
2016-09-11,31
2016-09-18,40
2016-09-25,30
2016-10-02,30
2016-10-09,39
2016-10-16,32
