Category: All categories

Week,bitcoin price: (Worldwide)
2011-10-23,0
2011-10-30,0
2011-11-06,0
2011-11-13,0
2011-11-20,0
2011-11-27,0
2011-12-04,0
2011-12-11,0
2011-12-18,1
2011-12-25,0
2012-01-01,0
2012-01-08,0
2012-01-15,0
2012-01-22,0
2012-01-29,1
2012-02-05,0
2012-02-12,0
2012-02-19,0
2012-02-26,0
2012-03-04,0
2012-03-11,0
2012-03-18,0
2012-03-25,1
2012-04-01,0
2012-04-08,1
2012-04-15,1
2012-04-22,0
2012-04-29,0
2012-05-06,0
2012-05-13,0
2012-05-20,0
2012-05-27,0
2012-06-03,0
2012-06-10,1
2012-06-17,0
2012-06-24,1
2012-07-01,0
2012-07-08,1
2012-07-15,1
2012-07-22,1
2012-07-29,1
2012-08-05,1
2012-08-12,1
2012-08-19,1
2012-08-26,0
2012-09-02,1
2012-09-09,1
2012-09-16,0
2012-09-23,0
2012-09-30,1
2012-10-07,1
2012-10-14,1
2012-10-21,1
2012-10-28,1
2012-11-04,0
2012-11-11,1
2012-11-18,1
2012-11-25,1
2012-12-02,1
2012-12-09,1
2012-12-16,1
2012-12-23,0
2012-12-30,0
2013-01-06,1
2013-01-13,1
2013-01-20,1
2013-01-27,1
2013-02-03,1
2013-02-10,2
2013-02-17,2
2013-02-24,2
2013-03-03,4
2013-03-10,3
2013-03-17,6
2013-03-24,9
2013-03-31,18
2013-04-07,55
2013-04-14,25
2013-04-21,13
2013-04-28,10
2013-05-05,7
2013-05-12,8
2013-05-19,7
2013-05-26,6
2013-06-02,5
2013-06-09,6
2013-06-16,4
2013-06-23,4
2013-06-30,7
2013-07-07,6
2013-07-14,5
2013-07-21,5
2013-07-28,5
2013-08-04,5
2013-08-11,6
2013-08-18,5
2013-08-25,5
2013-09-01,5
2013-09-08,4
2013-09-15,4
2013-09-22,4
2013-09-29,14
2013-10-06,6
2013-10-13,7
2013-10-20,10
2013-10-27,19
2013-11-03,25
2013-11-10,30
2013-11-17,78
2013-11-24,73
2013-12-01,90
2013-12-08,67
2013-12-15,87
2013-12-22,46
2013-12-29,35
2014-01-05,41
2014-01-12,38
2014-01-19,37
2014-01-26,39
2014-02-02,34
2014-02-09,64
2014-02-16,49
2014-02-23,100
2014-03-02,54
2014-03-09,28
2014-03-16,25
2014-03-23,28
2014-03-30,27
2014-04-06,26
2014-04-13,25
2014-04-20,19
2014-04-27,20
2014-05-04,18
2014-05-11,16
2014-05-18,18
2014-05-25,20
2014-06-01,22
2014-06-08,20
2014-06-15,19
2014-06-22,14
2014-06-29,16
2014-07-06,15
2014-07-13,19
2014-07-20,16
2014-07-27,17
2014-08-03,16
2014-08-10,20
2014-08-17,23
2014-08-24,16
2014-08-31,18
2014-09-07,18
2014-09-14,20
2014-09-21,23
2014-09-28,24
2014-10-05,32
2014-10-12,22
2014-10-19,19
2014-10-26,19
2014-11-02,21
2014-11-09,25
2014-11-16,20
2014-11-23,16
2014-11-30,19
2014-12-07,22
2014-12-14,22
2014-12-21,21
2014-12-28,20
2015-01-04,29
2015-01-11,38
2015-01-18,25
2015-01-25,28
2015-02-01,21
2015-02-08,22
2015-02-15,23
2015-02-22,18
2015-03-01,21
2015-03-08,20
2015-03-15,21
2015-03-22,20
2015-03-29,18
2015-04-05,19
2015-04-12,19
2015-04-19,18
2015-04-26,18
2015-05-03,15
2015-05-10,17
2015-05-17,17
2015-05-24,15
2015-05-31,16
2015-06-07,15
2015-06-14,18
2015-06-21,15
2015-06-28,24
2015-07-05,26
2015-07-12,24
2015-07-19,18
2015-07-26,20
2015-08-02,20
2015-08-09,16
2015-08-16,21
2015-08-23,24
2015-08-30,18
2015-09-06,16
2015-09-13,16
2015-09-20,15
2015-09-27,14
2015-10-04,14
2015-10-11,16
2015-10-18,17
2015-10-25,27
2015-11-01,63
2015-11-08,33
2015-11-15,24
2015-11-22,21
2015-11-29,24
2015-12-06,37
2015-12-13,32
2015-12-20,27
2015-12-27,25
2016-01-03,31
2016-01-10,34
2016-01-17,37
2016-01-24,25
2016-01-31,21
2016-02-07,24
2016-02-14,28
2016-02-21,25
2016-02-28,24
2016-03-06,21
2016-03-13,20
2016-03-20,18
2016-03-27,20
2016-04-03,20
2016-04-10,20
2016-04-17,21
2016-04-24,25
2016-05-01,33
2016-05-08,22
2016-05-15,21
2016-05-22,24
2016-05-29,44
2016-06-05,36
2016-06-12,72
2016-06-19,76
2016-06-26,50
2016-07-03,48
2016-07-10,41
2016-07-17,35
2016-07-24,30
2016-07-31,57
2016-08-07,33
2016-08-14,28
2016-08-21,26
2016-08-28,26
2016-09-04,31
2016-09-11,29
2016-09-18,27
2016-09-25,26
2016-10-02,25
2016-10-09,27
2016-10-16,27
